cluster_id,proposed_label,segment_count,document_count,percent_of_documents,representative_phrases
36,Boilerplate – Vorgeschichte,151,150,25.3,Die ausführliche Vorgeschichte dürfen wir freundlicherweise als bekannt voraussetzen und verweisen auf die entsprechenden Berichte.
196,Erschöpfung / Müdigkeit,143,142,24.0,"Bei Aufnahmegespräch berichtet die Patientin seit über einem Jahr immer wieder unter Erschöpfungssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit über Jahren immer wieder unter Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit über vielen Jahren immer wieder unter Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit über Jahren unter zunehmende Erschöpfungssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit über vielen Jahren unter zunehmende Erschöpfungssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit vielen Jahren immer wieder unter Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, seit über vielen Jahren immer wieder unter einer Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit über einem Jahr unter Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit Jahren unter zunehmende Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit vielen Jahren unter zunehmende Erschöpfungssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, seit mehreren Jahren immer wieder unter einer Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin seit Jahren unter zunehmende Erschöpfungssymptomatik zu leiden.
---
Im Aufnahmegespräch berichtet die Patientin, seit mehreren Jahren immer wieder unter einer Müdigkeitssymptomatik zu leiden.
---
Kurz gefasst berichtet die Patientin seit vielen Jahren unter zunehmende Erschöpfungssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet die Patientin, seit Jahren immer wieder unter einer chronischen Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahmegespräch berichtet der Patient seit vielen Jahren unter Müdigkeitssymptomatik zu leiden."
47,Boilerplate – Erwartungen,103,102,17.2,Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung.
125,Schlafstörungen,64,64,10.8,Ihr Schlaf sei von Ein- und Durchschlafstörungen gestört.
147,Erschöpfung / Müdigkeit,61,61,10.3,"Sie berichtet, dass sie sich sehr erschöpft fühle und ihre Belastbarkeitsgrenze sei schneller als vorher erreicht."
50,Tinnitus,59,59,10.0,"Zudem leide sie seit über eineinhalb Jahren unter Tinnitus aurium beidseitig.
---
Zudem leide sie seit über einem Jahr unter Tinnitus aurium linksbetont.
---
Zudem leide sie seit über einem Jahr unter Tinnitus aurium rechtsbetont.
---
Darüber hinaus leide sie seit ca. zehn Jahren unter einem Tinnitus aurium beidseits.
---
Zudem leide sie seit über vielen Jahren unter einem Tinnitus aurium bds.
---
Drüber hinaus leide sie seit über Jahren unter einem Tinnitus aurium bds.
---
Zudem leide sie seit über 10 Jahren unter Tinnitus aurium beidseitig.
---
Weiterhin berichtet die Patientin über einen beidseitigen Tinnitus aurium, der sie bereits seit vielen Jahren begleitet und sich in den letzten vier Wochen deutlich verschlechtert habe.
---
Zudem leide sie seit über zwanzig Jahren unter Tinnitus aurium beidseitig.
---
Drüber hinaus leide sie seit über zwanzig Jahren unter einem Tinnitus aurium beidseits.
---
Darüber hinaus leide sie seit über acht Jahren unter einem Tinnitus aurium linksbetont.
---
Zudem leidet sie seit über drei Jahren unter einem beidseitigen Tinnitus aurium mit dem Charakter eines Rauschens.
---
Zudem leide sie seit über zehn Jahren unter Tinnitus aurium beidseits.
---
Zudem leide sie seit über 15 Jahren unter Tinnitus aurium beidseitig.
---
Weiterhin leide sie seit über 10 Jahren unter Tinnitus aurium rechts.
---
Darüber hinaus leide sie seit über 8 Jahren unter Tinnitus aurium beidseits.
---
Darüber hinaus leide sie seit über sieben Jahren unter Tinnitus aurium beidseits.
---
Zudem leide sie seit über vier Jahren unter anhaltenden Tinnitus aurium links.
---
Des Weiteren leide sie seit über 20 Jahren unter einem Tinnitus aurium, der sich seit o.g.
---
Anschließend gibt sie an, seit über neun Jahren unter einem Tinnitus aurium zu leiden."
55,Sonstige / unbekannt,56,56,9.5,In den Beziehungen zu anderen sei sie etwas zurückhaltend geworden.
14,Boilerplate – Erwartungen,51,50,8.4,"Vom Aufenthalt erhoffe sie sich, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden."
160,Belastbarkeit,49,49,8.3,Ihre Leistungsfähigkeit sowie Antrieb seien stark eingeschränkt.
41,Boilerplate – Erwartungen,48,48,8.1,Vom Aufenthalt erhoffe sich der Patient wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung.
