cluster_id,segment_count,document_count,percent,representative_phrases
36,151,150,25.3,Die ausführliche Vorgeschichte dürfen wir freundlicherweise als bekannt voraussetzen und verweisen auf die entsprechenden Berichte. | Die ausführliche Vorgeschichte dürfen wir freundlicherweise als bekannt voraussetzen und verweisen auf die entsprechenden Berichte. | Die ausführliche Vorgeschichte dürfen wir freundlicherweise als bekannt voraussetzen und verweisen auf die entsprechenden Berichte. | Die ausführliche Vorgeschichte dürfen wir freundlicherweise als bekannt voraussetzen und verweisen auf die entsprechenden Berichte. | Die ausführliche Vorgeschichte dürfen wir freundlicherweise als bekannt voraussetzen und verweisen auf die entsprechenden Berichte.
196,143,142,24.0,Bei Aufnahmegespräch berichtet die Patientin seit über einem Jahr immer wieder unter Erschöpfungssymptomatik zu leiden. | Bei Aufnahmegespräch berichtet die Patientin seit über Jahren immer wieder unter Müdigkeitssymptomatik zu leiden. | Bei Aufnahmegespräch berichtet die Patientin seit über vielen Jahren immer wieder unter Müdigkeitssymptomatik zu leiden. | Bei Aufnahmegespräch berichtet die Patientin seit über Jahren unter zunehmende Erschöpfungssymptomatik zu leiden. | Bei Aufnahmegespräch berichtet die Patientin seit über vielen Jahren unter zunehmende Erschöpfungssymptomatik zu leiden.
47,103,102,17.2,Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung.
125,64,64,10.8,Ihr Schlaf sei von Ein- und Durchschlafstörungen gestört. | Ihr Schlaf sei von Ein- und Durchschlafstörungen gestört. | Ihr Schlaf sei von Ein- und Durchschlafstörungen gestört. | Ihr Schlaf sei von Ein- und Durchschlafstörungen gestört. | Ihr Schlaf sei von Ein- und Durchschlafstörungen gestört.
147,61,61,10.3,"Sie berichtet, dass sie sich sehr erschöpft fühle und ihre Belastbarkeitsgrenze sei schneller als vorher erreicht. | Sie berichtet, dass sie sich sehr erschöpft fühle und ihre Belastbarkeitsgrenze sei schneller als vorher erreicht. | Sie berichtet, dass sie sich sehr erschöpft fühle und ihre Belastbarkeitsgrenze sei schneller als vorher erreicht. | Sie berichtet, dass sie sich sehr erschöpft fühle und ihre Belastbarkeitsgrenze sei schneller als vorher erreicht. | Sie berichtet, dass sie sich sehr erschöpft fühle und ihre Belastbarkeitsgrenze sei schneller als vorher erreicht."
50,59,59,10.0,Zudem leide sie seit über eineinhalb Jahren unter Tinnitus aurium beidseitig. | Zudem leide sie seit über einem Jahr unter Tinnitus aurium linksbetont. | Zudem leide sie seit über einem Jahr unter Tinnitus aurium rechtsbetont. | Darüber hinaus leide sie seit ca. zehn Jahren unter einem Tinnitus aurium beidseits. | Zudem leide sie seit über vielen Jahren unter einem Tinnitus aurium bds.
55,56,56,9.5,In den Beziehungen zu anderen sei sie etwas zurückhaltend geworden. | In den Beziehungen zu anderen sei sie etwas zurückhaltend geworden. | In den Beziehungen zu anderen sei sie etwas zurückhaltend geworden. | In den Beziehungen zu anderen sei sie etwas zurückhaltend geworden. | In den Beziehungen zu anderen sei sie etwas zurückhaltend geworden.
14,51,50,8.4,"Vom Aufenthalt erhoffe sie sich, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden. | Vom Aufenthalt erhoffe sie sich, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden. | Vom Aufenthalt erhoffe sie sich, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden. | Vom Aufenthalt erhoffe sie sich, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden. | Vom Aufenthalt erhoffe sie sich, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden."
160,49,49,8.3,Ihre Leistungsfähigkeit sowie Antrieb seien stark eingeschränkt. | Ihre Leistungsfähigkeit sowie Antrieb seien stark eingeschränkt. | Ihre Leistungsfähigkeit sowie Antrieb seien stark eingeschränkt. | Ihre Leistungsfähigkeit sowie Antrieb seien stark eingeschränkt. | Ihre Leistungsfähigkeit sowie Antrieb seien stark eingeschränkt.
41,48,48,8.1,Vom Aufenthalt erhoffe sich der Patient wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung.
135,47,47,7.9,"Stimmung sei schwankend, teilweise gedrückt. | Stimmung sei schwankend, teilweise gedrückt. | Stimmung sei schwankend, teilweise gedrückt. | Stimmung sei schwankend, teilweise gedrückt. | Stimmung sei schwankend, teilweise gedrückt."
204,43,42,7.1,Es handelt sich um intermittierende Schmerzen von ziehendem Schmerzcharakter. | Es handelt sich um intermittierende Schmerzen von ziehendem Schmerzcharakter. | Es handelt sich um intermittierende Schmerzen von ziehendem Schmerzcharakter. | Es handelt sich um intermittierende Schmerzen von ziehendem Schmerzcharakter. | Es handelt sich und intermittierenden Schmerzen von ziehendem Schmerzcharakter.
174,43,42,7.1,"Beschwerdensymptomatik äußert sich vor allem durch krampfartigen Bauchschmerzen, Durchfallneigung, vermehrte Blähungen, Völlegefühl. | Es zeigten sich meistens Verstopfungsneigung, vermehrte Blähungen, Völlegefühl, diffuse Bauchschmerzen, teilweise auch Übelkeit. | Beschwerdensymptomatik äußert sich vor allem durch Bauchschmerzen, Durchfallneigung, vermehrte Blähungen, Völlegefühl und Stuhldrang. | Beschwerdensymptomatik äußert sich vor allem durch krampfartigen Bauchschmerzen, Verstopfungsneigung, vermehrte Blähungen, Völlegefühl, Aufstoßen. | Es zeigten sich meistens Oberbauchschmerzen, vermehrte Blähungen, Völlegefühl, mal Verstopfung, mal Durchfall, Übelkeit."
117,42,40,6.8,"Sie gibt an, dass sich die Symptomatik in den letzten 2-3 Jahren deutlich zugespitzt habe. | Sie gibt an, dass die Symptomatik in den letzten Jahren deutlich zugespitzt habe. | Sie gibt an, dass sich die Symptomatik in den letzten Jahren deutlich zugespitzt habe. | Diese Symptomatik bestehe bereits seit längerer Zeit latent, habe sich jedoch in den letzten 1–3 Jahren deutlich verschlechtert. | Sie gibt weiterhin an, dass es in den letzten Jahren zu einer Verschlechterung der Symptomatik gekommen sei."
104,40,38,6.4,Sie werden als stechenden und ziehenden empfunden. | Sie werden als pochenden empfunden. | Sie werden als pochenden empfunden. | Sie werden als stechenden empfunden. | Sie werden als stechenden empfunden.
124,35,35,5.9,"Ihre Stimmung sei schwankend, häufig gedrückt. | Ihre Stimmung sei schwankend, häufig gedrückt. | Ihre Stimmung sei schwankend, häufig gedrückt. | Ihre Stimmung sei schwankend, häufig gedrückt. | Ihre Stimmung sei schwankend, häufig gedrückt."
110,35,35,5.9,Charakter: hohes Pfeifen. | Charakter: hohes Pfeifen. | Charakter: hohes Pfeifen. | Charakter: hohes Pfeifen. | Charakter: hohes Pfeifen.
